,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,EndgameChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
0,Blen Shiferaw,qm1,blue,1,122,false,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,robot not present
1,sarah and Saragha,qm1,blue,2,888,true,8H,0.0,1.0,,None, | Picked up cube,3Lcone|4H|5H|6H|7H|9H,0.5, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,1.5, | Fast cycle time
2,Suhani,qm1,blue,3,8230,true,,0.0,1.0,Engage,Engage,,1Lcube|2Lcube|6Lcube,0.0,focused on shooting cubes to the other side to collect,Engage,Engage,19.9,,0.0,0.0,0.0,0.0,0.0,
3,Amogh and aran,qm1,red,1,346,true,,0.0,1.0,,None, | ,4Lcube|5M|6Lcube|7Lcube,0.0, | ,Engage,Engage,, | ,0.0,0.0,10.0,0.0,2.0, | 
4,Shashwat and Adrian Sun,qm1,red,2,1262,false,,0.0,0.0,Engage,Engage, | ,7H|8H|9H,0.5, | ,Engage,None,, | Robot fell off,0.0,0.0,0.0,0.0,1.0, | 
5,Agneya and Agneya,qm1,red,3,4456,true,5H,0.0,1.0,Engage,Engage, | ,1H,0.0, | ,Engage,Engage,14.4, | ,1.0,0.0,0.0,0.0,2.0, | 
6,Suhani,qm10,blue,3,623,true,6M,0.0,1.0,Engage,Engage,,1M|2M|3M|4M|5M|6Lcube,0.0,,Engage,Engage,6.5,,0.0,0.0,0.0,0.0,5.0,
7,Rachel and Blen Shiferaw,qm10,blue,,977,true,8M,0.0,0.0,,, | ,3Lcube|8Lcube|9Lcube,0.0, | took a long time to intake from double substation ,Engage,Engage,5.4, | ,0.0,0.5,0.0,0.0,1.5, | 
8,sarah and Saragha,qm10,blue,2,4099,true,1H,0.5,1.0,,None, | ,2H|3H|4H|5H|6Lcone|6H,1.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,4.5, | 
9,Adrian Sun,qm10,red,2,1418,false,6H,0.0,0.0,,,,5M|6M,1.0,,,,9.0,,0.0,0.0,0.0,0.0,2.0,
10,alexander and Owen,qm10,red,3,1727,true,1H|3H,0.0,1.0,Engage,Engage, | Good auto and intake and out take and also good charge,1Lcube|2Lcube|2M|3Lcube|4H|7H|9H,0.0, | ,,None,, | ,0.0,0.0,20.0,2.0,3.5, | 
11,Agneya  and Agneya,qm10,red,,5724,true,9Lcone,1.0,1.0,,None, | ,2H|4M|5H|7M|8H,0.0, | ,Engage,Engage,14.6, | ,0.0,0.0,0.0,0.0,2.0, | 
12,Sri and Nicole,qm11,blue,3,1610,true,1H,0.0,1.0,,None, | ,1Lcube|2Lcube|2H|3Lcube|3H|4Lcube|4M|5M,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,4.0, | 
13,Olivia  and Hannah,qm11,blue,2,5587,true,,0.5,1.0,,, | ,1Lcone|2Lcube|8Lcube,1.0, | weak grippers| tried to score mid and dropped,,,, | ,0.0,0.5,0.0,0.0,1.0,intake is bad  | 
14,Eckart and Neel,qm11,blue,,8622,true,,0.0,0.0,,None,Got stuck on charge station flap | ,5M|6Lcube|8M,0.0,Struggled getting cube from single sub | Only cubes,,None,,Couldn't balance that well  | ,0.0,0.0,0.0,0.0,1.0, | 
15,Sydney,qm11,red,,122,true,8H,0.0,1.0,,None,,7Lcube|8Lcube|9Lcube,0.0,Struggled a lot with ground intake - insecure hold on cargo,Engage,Engage,9,Knocked off another bot when going for triple engage ,0.0,0.0,0.0,0.0,2.0,
16,Arav,qm11,red,2,4456,true,,0.0,0.0,,,,3H|7H|9H,0.0,,Engage,Engage,6,,0.0,0.0,0.0,0.0,2.0,
17,Chris and darren,qm11,red,3,9033,true,2H,0.0,1.0,,None, | ,3H|4H|7H,0.0, | ,Engage,None,,Very tippy | tippy| fell off of charge station,0.0,1.0,0.0,0.0,2.0,Very tippy | 
18,Sri and Nicole,qm12,blue,3,888,true,8H,0.0,1.0,,, | Preload score pick up one,2H|3H|8M,1.0, | ,Engage,Dock,7.2, | ,0.0,0.5,0.0,0.0,4.0, | 
19,Hannah  and Olivia,qm12,blue,2,1599,true,6H|7M,0.0,1.0,Engage,Engage, | ,4M|4H|5H|6M|7M,0.0, | ,Engage,Dock,, | ,0.0,0.0,0.0,0.0,0.0, | Slow at driving 
20,Eckart and Neel,qm12,blue,,5115,true,1H,0.0,1.0,,None, | ,6H|7Lcone|7H,0.0,Got disabled after pinned into tipped bot | ,,None,, | ,1.0,0.0,0.0,0.0,0.0, | 
21,Arav and Sayan,qm12,red,2,686,true,,0.0,0.0,,, | ,3M|8M|9M,0.0, | ,Engage,Engage,, | Only one to attempt,0.0,0.0,0.0,0.0,4.0, | 
22,Jeff and Sydney,qm12,red,,6326,true,1H,0.0,1.0,,None, | Originally went for high cone,8H,0.0, | Slow double sub intake - fell over ,,None,, | ,1.0,1.0,0.0,1.0,1.5, | 
