,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
0,Owen and Joshua,qm1,blue,3,1023,false,,0.0,0.0,None,, | Missed cube in attempt to double wcore,1Lcube|2Lcube|2M|3H|4Lcone|4M|5Lcube|6M,0.0, | Knocked teammate over| good sped thoughDriving is way too aggressive| knocked teammate over and broke loading station window Struggled to cross charge station| bumper too low,Engage,Engage,, | Waited for teammate,0.0,0.5,30.0,2.5,4.0, | Utilized high speed well| but had trouble controlling it 
1,shayaan,qm1,blue,2,5804,true,4H,0.0,0.0,Engage,None,tries to engage but hits charge station?,1H|3H|4Lcone|5Lcone|5M|5H|6H|7Lcone,0.0,lots of troubles with double sub intake for a lil,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
2,Suzy,qm1,blue,1,9030,true,7Lcube,0.0,1.0,None,None,,2H|9Lcube,1.0,,None,None,,,0.0,1.0,0.0,0.0,0.0,Tipped over
3,Blen,qm1,red,2,4663,true,2H,0.0,1.0,None,,,4M|4H|3H|2M|1H,0.0,takes a long time to intake cones from double sub ,None,Park,,,0.0,0.0,0.0,0.0,2.0,
4,Ryan,qm1,red,3,5338,true,9H,0.0,0.0,None,None,,7H|6Lcone|6H|3M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,
5,Aran,qm1,red,1,7428,true,5H|1M|1M,0.0,1.0,Engage,Engage,,8H|2M|1M,0.0,,Engage,Engage,,,0.0,1.0,0.0,0.0,2.0,Slow
6,Abhimanyu Ghosh,qm1,red,1,8808,true,2H,0.0,0.0,None,None,,5Lcube|5M|2M|1H,0.0,,None,Engage,,,0.0,0.0,0.0,0.0,0.0,Slight issue grabbing cones
7,sarah,qm10,blue,3,179,true,9Lcone|9H,1.0,1.0,None,None,,1M|1H|4M|7H|8Lcone|8H,1.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,
8,Nikhil,qm10,blue,1,3003,false,4H,0.0,0.0,Engage,Engage,,5M|6M|7M|9M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,3.0,
9,Shashwat,qm10,blue,2,3940,true,2H,0.0,1.0,None,None,,2Lcube|3H|5H|6H|7Lcube|8Lcube,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
10,Blen ,qm10,red,2,7617,true,8M|7M,0.0,1.0,None,,,7M|6H|5M|5H|4H,0.0,,Engage,Engage,4,,0.0,0.0,0.0,0.0,0.0,
11,Sydney,qm10,red,1,9062,true,5Lcone,0.0,1.0,None,None,,,0.0,Shot cubes to the grid ,Engage,Engage,7,,0.0,0.0,0.0,0.0,2.0,
12,alexander,qm10,red,3,9126,true,2H,0.0,1.0,None,None,,9Lcube|8H|2M,1.0,,Engage,Engage,,Triple Engage,0.0,0.0,0.0,0.0,3.0,
13,Joshua,qm100,blue,3,1468,true,9Lcone,1.0,1.0,None,,,1M|3Lcone|3M|4H|5H|6H,0.0,Struggles against defense,Engage,Engage,10,Triple dock,0.0,0.0,0.0,0.0,0.0,Poor counter defense
14,Arav and Owen,qm100,blue,2,1757,true,1H|2M,0.0,1.0,None,None, | ,4M|4H|7H|8H|9M|9H,0.0, | ,Engage,Engage,, | ,0.0,0.0,10.0,1.0,4.5,Counter defense kinda mid tho  | We
15,Suzy,qm100,blue,1,9140,true,5H,0.0,0.0,Engage,Engage,,5Lcube|6M|7M|8M|9M,0.0,,Engage,Engage,4,,0.0,0.0,0.0,0.0,4.0,Played well counter defense
16,Aran,qm100,red,1,1466,true,5H,0.0,1.0,Engage,Engage,,3Lcone|3M|3H|2M|1Lcube|1M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
17,Amogh,qm100,red,2,2960,false,6H,0.0,1.0,None,None,,9H,0.0,,Engage,Engage,,,0.0,0.0,0.0,3.0,0.0,
18,Suzy,qm101,blue,1,857,true,4H|5H|6H|8H,0.0,0.0,None,None,,4H|5H|6H|7H|9M|9H,0.0,,Engage,Engage,6,,0.0,0.0,0.0,0.0,4.0,Moved opposite robot off of charge station
19,Joshua,qm101,blue,3,1123,true,8M|8H|9Lcone,0.0,1.0,None,,Triple auto,3Lcone|4Lcone|6H,2.0,Causes 3184 to fall over =DQ,None,Park,,,0.0,0.0,80.0,4.0,5.0,Had really strong defense| but went too aggressive with it and got disqualified
20,Arav and Owen,qm101,blue,2,5553,true,,0.0,0.0,None,None, | Did not move on auto,,0.0, | Did not move on teleop,None,None,, | Didnt move all game,1.0,0.0,0.0,0.0,1.0, | 
21,Aran,qm101,red,1,3184,true,2H|1H,0.0,1.0,None,None,,7M|6H|3M|3H|1M,0.0,Got tipped two times,None,None,,,0.0,0.0,20.0,0.0,2.0,
22,Amogh,qm101,red,2,5990,true,9H|8H,0.0,1.0,Engage,Engage,,9Lcone|8Lcube|6Lcube|5Lcube|5M|3H|1Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
23,Joshua,qm102,blue,3,3161,true,9M,0.0,1.0,None,,,1M|2M|3M|4M|8Lcube,0.0,,Engage,Dock,15,Poor communication ,0.0,0.0,20.0,2.0,0.0,
24,Joshua,qm102,blue,3,3163,true,9Lcone,1.0,1.0,None,,,1M|2M|3M|3H|4M|4H|8H,1.0,Exceptional defense| forced a penalty from red by spawn camping red zone| but got penalties on later.,Engage,Engage,3,Swerved around station from red zone and landed it in a couple seconds somehow ,0.0,0.0,80.0,5.0,5.0,Exceptional defense :)
25,Suzy,qm102,blue,1,4145,true,2H,0.0,1.0,None,None,,3Lcone|7H|8H|9H,0.0,,Engage,Dock,7,,0.0,0.0,0.0,0.0,4.0,Very sturdy
26,Arav and Owen,qm102,blue,2,7428,true,5H,0.0,1.0,Engage,None, | ,4M|5M|6M|7M,0.0, | ,Engage,None,, | ,0.0,0.0,10.0,0.5,2.5, | 
27,Aran,qm102,red,1,2992,true,9H|8H|1M|1M,0.0,1.0,None,None,,3M|3H|2M|2H|1M|1H,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
28,Amogh,qm102,red,2,8847,true,2Lcube,0.0,1.0,None,,,7Lcube|6Lcube|5Lcone|4Lcube|3Lcube|3H|1Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
29,Suzy,qm103,blue,1,1816,false,6H,0.0,0.0,Engage,Engage,,7H,0.0,,None,Park,,,1.0,0.0,0.0,2.0,4.0,
30,Arav,qm103,blue,2,4112,true,1H,0.0,1.0,None,None,,3H|4H,0.0,,Engage,Engage,3,,1.0,0.0,0.0,0.0,0.0,
31,Ryan,qm103,blue,3,5135,true,8H,0.0,1.0,None,None,,4M|5H|9H,0.0,,Engage,Engage,,,0.0,0.0,60.0,3.0,4.0,
32,Aran,qm103,red,1,1501,true,1H,0.0,1.0,None,None,,3Lcube|3H|2Lcone|2M|1Lcube,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
33,Amogh,qm103,red,2,1629,false,,0.0,1.0,Engage,Engage,,6Lcube|6M|5Lcone|3H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
34,Adrian ,qm103,red,3,4143,true,8M|8H|7H,0.0,1.0,None,,,9M|9H|7Lcone|7M|5M|4M|3M,0.0,,Engage,Engage,5.1,,0.0,0.0,0.0,0.0,4.0,
35,paul and Joshua,qm104,blue,3,195,true,2Lcone|2M,0.5,1.0,None,, | Attempted triple,1M|1H|2H|3H|4H|5H|6H,0.0, | Good cycling speed but almost fell over numerous times,Engage,Engage,, | ,0.0,0.5,20.0,2.0,5.0, | Very good driving but they need to watch tipping lol
36,Sanjay,qm104,blue,1,6909,true,8H,0.0,1.0,None,None,,5H|8M|9Lcube,0.0,slow asf,None,None,,,0.0,1.0,0.0,0.0,1.0,
37,sarah,qm104,blue,2,7072,true,5M,0.0,1.0,Engage,Engage,,3Lcube|4Lcube|8Lcube,1.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,2.0,
38,Blen,qm104,red,2,494,true,1M|1H,0.0,1.0,None,,,6H|5H|4Lcone|4H|3M|3H|2H|1M,1.0,,None,Park,,,0.0,0.0,0.0,0.0,5.0,really quick cycles and good at double substation 
39,sarah,qm104,red,3,5338,true,9H,0.0,1.0,None,None,,9M|8M|8H|7M|7H|6M,0.0,,None,None,,,0.0,0.0,0.0,0.0,0.0,
40,Rachel,qm104,red,1,8015,true,,0.0,0.0,None,None,,,0.0,,None,Park,,,1.0,0.0,0.0,0.0,0.0,
41,Shashwat,qm105,blue,2,179,true,3H,1.0,0.0,None,None,,1M|1H|3M|4M|6H|7M,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
42,paul and sarah,qm105,blue,3,503,true,4H,0.0,1.0,Engage,None, | ,2Lcube|2M|2H|3Lcube|5Lcube|5M,0.5, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,2.0, | 
43,Nikhil,qm105,blue,1,3039,true,9H,0.0,0.0,None,None,,5H|6Lcube|7M|7H|8Lcube|9Lcube|9M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,3.0,
44,alexander,qm105,red,3,2642,true,8H|7Lcone,0.0,1.0,None,None,,9Lcone|9M|9H|7M|7H,1.0,,Engage,Engage,,Double engage,0.0,0.0,0.0,0.0,4.0,
