Timestamp,Scout Name,Team Number,Programming language,Motor type,Drivetrain,Drivetrain Width,Drivetrain Length (left/right side of robot),Number of batteries,Battery Connector,Where can you intake from?,Where do you prefer to intake?,Where are you best at scoring/prefer to score?,Can they shoot cubes (from behind charge station),Would you be willing to play defense?,Additional comments or information,Take a photo of the robot and send in corresponding slack thread
4/19/2023 15:04:21,pwanav ,4099,LabView,"Cim, Banebots 550 motors",Omni/X-drive,45,20,1,SB-50,human player throws it over the single substation into the robot ,In the middle of the field. Our human player is goated w the sauce.,Low Cones,No,No,falco was a better robot name,Done
4/19/2023 15:49:44,paul,177,Java,Falcon 500,Swerve,26,26,8,SB-50,"Cubes from ground, Cones from ground, Single Substation, can do double substation but it’s not preferes","Single substation, drops it in a specific way",Anywhere,Yes,No,won’t play defense in qualifying if nothing is broken,Done
4/19/2023 15:50:01,Shashwat,5135,Java,"Falcon 500, Neo 550",Swerve,24,29.5,5,SB-50,"Cubes from ground, Cones from ground, Double Substation",Double substation,Anywhere,Yes,Yes,,Done
4/19/2023 15:54:59,Alex S,3003,Java,"Falcon 500, Neo 550",Swerve,26,34,12,SB-120,"Cubes from ground, Cones from ground, Double Substation, Single Substation",Single substation,High Cones,No,No,"Pretty consistent auto, place high and balance",Done
4/19/2023 16:00:42,Alex S,3184,Java,Neo 550,Swerve,27,27,8,SB-50,"Cubes from ground, Cones from ground, Double Substation, Single only through putting on ground",Double substation,"High Cubes, High Cones",No,Yes,Able to shoot cubes but very inconsistently. 3 cube auto or 2 cube and balance,Done
4/19/2023 16:01:05,Shashwat,5172,Java,Falcon 500,Swerve,25,25,9,SB-50,"Cubes from ground, Cones from ground, Double Substation, Single Substation",Single substation,Anywhere,No,Yes,,Done
4/19/2023 16:03:35,Abhimanyu Ghosh,179,Java,"Neo Brushless, Neo 550",Swerve,28,28,12,SB-50,"Cubes from ground, Cones from ground, Double Substation, Single Substation, Prefer ground",Anywhere,"High Cubes, High Cones, Anywhere",No,Yes,"2 lime lights, automated",Done
4/19/2023 16:05:51,Nicole Zhang,3218,Java,"Falcon 500, Neo 550, Bag",Swerve,24,24,9,SB-50,"Cubes from ground, Cones from ground, Single Substation","Cones from ground, Single substation","High Cubes, High Cones",Yes,Yes,,Done
4/19/2023 16:07:04,Blen,4112,Java,"Falcon 500, Neo 550, mostly falcon one neo",Swerve,25,30,3,SB-120,"Cubes from ground, Cones from ground, Double Substation",any of them other than single sub ,"High Cubes, High Cones",No,Yes,heavy bot which is good for playing defense and pushing matches ,Done
4/19/2023 16:09:50,Aanshi,3003,Java,"Falcon 500, Neo Brushless",Swerve,32,36,15,SB-50,"Cubes from ground, Cones from ground, Double Substation, Single Substation","Cones from ground, Double substation","High Cubes, Mid Cubes",No,Yes,,Done
